id,name,skin,ingredients,price
94,Daily Moist 51,Seca,"Ácido Ferúlico, Glicerina, Ácido Hialurónico",44.1
95,DermaFix 106,Grasa,"Glicerina, Zinc, Ácido Salicílico",37.26
96,Aqua Balm 142,Madura,"Urea, Agua Termal, Retinol",124.12
97,AgeDefy 130,Grasa,"Glicerina, Ácido Hialurónico, Retinol",168.63
98,NutriGlow 115,Mixta,"Ceramidas, Retinol, Pantenol",132.24
99,RegenX 91,Mixta,"Ácido Hialurónico, Avena Coloidal, Retinol",47.57
100,DermaFix 7,Normal,"Ácido Salicílico, Ácido Láctico, Ceramidas, Glicerina",106.46
101,SkinPure 100,Todo tipo,"Peptidos, Aloe Vera, Ceramidas",8.03
102,Silky Touch 165,Seca,"Manteca de Karité, Extracto de Té Verde, Zinc, Avena Coloidal",107.38
103,Clear Skin 192,Todo tipo,"Ácido Hialurónico, Peptidos, Avena Coloidal",194.73
104,Daily Moist 201,Mixta,"Ácido Ferúlico, Niacinamida, Urea",74.55
105,NutriGlow 172,Mixta,"Ceramidas, Pantenol",170.39
106,Clear Skin 279,Acneica,"Manteca de Karité, Vitamina C",115.74
107,SunShield 93,Acneica,"Zinc, Pantenol, Aceite de Jojoba",117.72
108,BrightFix 170,Madura,"Glicerina, Ceramidas",69.88
109,Daily Moist 157,Grasa,"Zinc, Ceramidas, Ácido Ferúlico, Glicerina",178.99
110,Daily Moist 15,Grasa,"Vitamina C, Avena Coloidal, Ácido Salicílico",117.98
111,AcneFree 173,Acneica,"Vitamina C, Ácido Hialurónico",101.52
112,Clear Skin 296,Todo tipo,"Niacinamida, Manteca de Karité, Ácido Salicílico, Retinol",39.7
113,Aqua Balm 272,Acneica,"Extracto de Té Verde, Aloe Vera, Agua Termal, Vitamina C",73.13
114,Fresh Dew 292,Acneica,"Ceramidas, Ácido Ferúlico, Ácido Salicílico, Zinc",67.2
115,NightCare 79,Mixta,"Glicerina, Niacinamida, Aceite de Jojoba",161.57
116,RegenX 60,Todo tipo,"Ácido Láctico, Vitamina C, Manteca de Karité, Ácido Hialurónico",199.29
117,NutriGlow 233,Acneica,"Vitamina C, Extracto de Té Verde, Peptidos, Ácido Hialurónico",109.19
118,SkinPure 57,Mixta,"Agua Termal, Ceramidas, Vitamina C",70.03
119,SkinPure 145,Mixta,"Aloe Vera, Zinc, Glicerina, Retinol",74.42
120,Daily Moist 256,Seca,"Zinc, Urea, Ceramidas",114.1
121,Aqua Balm 58,Todo tipo,"Glicerina, Pantenol, Avena Coloidal, Ácido Ferúlico",167.79
122,AcneFree 246,Mixta,"Pantenol, Agua Termal, Ácido Salicílico",129.89
123,SkinPure 74,Madura,"Retinol, Ceramidas, Aceite de Jojoba, Urea",33.17
124,RegenX 166,Seca,"Avena Coloidal, Glicerina",40.37
125,CeraPlus 98,Madura,"Ceramidas, Manteca de Karité",111.27
126,OilControl 127,Sensible,"Zinc, Ácido Salicílico",20.89
127,OilControl 207,Seca,"Ácido Salicílico, Vitamina C",142.41
128,Radiant Day 221,Todo tipo,"Urea, Pantenol, Aloe Vera",9.53
129,Silky Touch 61,Grasa,"Aceite de Jojoba, Ceramidas, Pantenol, Peptidos",22.79
130,SunShield 164,Seca,"Ácido Salicílico, Pantenol, Aloe Vera, Vitamina C",163.06
131,Hydra Boost 181,Acneica,"Aceite de Jojoba, Extracto de Té Verde, Avena Coloidal, Aloe Vera",126.66
132,AcneFree 137,Todo tipo,"Pantenol, Manteca de Karité",94.71
133,BrightFix 215,Normal,"Niacinamida, Glicerina, Ácido Láctico",65.22
134,DermaFix 293,Todo tipo,"Pantenol, Aceite de Jojoba, Ceramidas",47.81
135,Silky Touch 210,Madura,"Niacinamida, Manteca de Karité, Zinc, Ceramidas",108.71
136,Fresh Dew 226,Seca,"Manteca de Karité, Avena Coloidal",33.02
137,NutriGlow 156,Madura,"Pantenol, Aceite de Jojoba, Avena Coloidal",23.69
138,Silky Touch 199,Seca,"Zinc, Niacinamida, Vitamina C, Avena Coloidal",86.36
139,AcneFree 112,Grasa,"Extracto de Té Verde, Niacinamida",187.07
140,AcneFree 222,Seca,"Retinol, Aloe Vera, Urea, Manteca de Karité",116.45
141,RegenX 153,Acneica,"Pantenol, Zinc",75.17
142,UltraSmooth 251,Todo tipo,"Manteca de Karité, Ácido Láctico, Agua Termal",95.35
143,NightCare 148,Todo tipo,"Extracto de Té Verde, Ácido Hialurónico, Manteca de Karité",11.29
144,NightCare 119,Grasa,"Ceramidas, Urea, Ácido Salicílico",30.45
145,Aqua Balm 216,Madura,"Glicerina, Retinol",170.98
146,Daily Moist 181,Mixta,"Glicerina, Ácido Ferúlico, Vitamina C",140.14
147,NutriGlow 51,Seca,"Urea, Peptidos, Extracto de Té Verde, Ácido Hialurónico",66.96
148,Hydra Boost 163,Mixta,"Peptidos, Zinc, Ceramidas, Manteca de Karité",149.24
149,UltraSmooth 147,Grasa,"Avena Coloidal, Ácido Hialurónico",82.09
150,SkinPure 51,Todo tipo,"Aceite de Jojoba, Retinol, Peptidos",114.45
151,BrightFix 95,Seca,"Glicerina, Aloe Vera",161.94
152,DermaFix 262,Mixta,"Zinc, Retinol",79.24
153,SkinPure 35,Mixta,"Aloe Vera, Ácido Salicílico, Peptidos",104.48
154,Aqua Balm 57,Grasa,"Agua Termal, Retinol, Vitamina C",176.05
155,Silky Touch 34,Seca,"Zinc, Pantenol, Urea, Extracto de Té Verde",26.8
156,NightCare 71,Seca,"Retinol, Agua Termal, Ácido Salicílico, Ácido Láctico",7.9
157,Clear Skin 29,Seca,"Vitamina C, Ceramidas, Ácido Ferúlico",106.04
158,SunShield 61,Mixta,"Retinol, Glicerina, Ácido Láctico, Avena Coloidal",73.9
159,NightCare 48,Madura,"Zinc, Vitamina C, Ácido Ferúlico",70.14
160,Glow Serum 204,Mixta,"Ácido Láctico, Vitamina C, Niacinamida, Urea",18.18
161,SunShield 59,Grasa,"Ácido Salicílico, Ácido Hialurónico, Ácido Ferúlico, Agua Termal",90.82
162,NutriGlow 85,Sensible,"Ceramidas, Ácido Láctico, Peptidos",101.43
163,UltraSmooth 203,Mixta,"Ácido Láctico, Ácido Ferúlico, Aceite de Jojoba, Ceramidas",61.12
164,Aqua Balm 190,Seca,"Ácido Ferúlico, Zinc",170.03
165,Fresh Dew 113,Acneica,"Pantenol, Niacinamida, Ceramidas, Ácido Hialurónico",128.29
166,Aqua Balm 237,Normal,"Pantenol, Peptidos, Ácido Hialurónico, Urea",43.56
167,Hydra Boost 261,Sensible,"Avena Coloidal, Niacinamida, Retinol, Vitamina C",24.18
168,NightCare 294,Acneica,"Zinc, Ácido Ferúlico",52.41
169,Silky Touch 178,Grasa,"Retinol, Avena Coloidal, Aloe Vera",67.48
170,Clear Skin 204,Todo tipo,"Aceite de Jojoba, Aloe Vera",74.01
171,CeraPlus 34,Todo tipo,"Ceramidas, Extracto de Té Verde, Pantenol, Ácido Hialurónico",132.79
172,OilControl 41,Grasa,"Agua Termal, Zinc",197.39
173,OilControl 219,Seca,"Ceramidas, Ácido Ferúlico, Ácido Salicílico",47.65
174,SunShield 261,Normal,"Ácido Salicílico, Extracto de Té Verde",170.41
175,Hydra Boost 168,Mixta,"Retinol, Agua Termal",79.68
176,Fresh Dew 78,Todo tipo,"Zinc, Urea, Ácido Láctico, Aceite de Jojoba",76.06
177,Hydra Boost 164,Sensible,"Niacinamida, Aceite de Jojoba",188.93
178,BrightFix 207,Todo tipo,"Pantenol, Ácido Salicílico, Agua Termal, Aceite de Jojoba",128.84
179,AcneFree 292,Normal,"Peptidos, Extracto de Té Verde",116.59
180,NightCare 257,Acneica,"Ácido Ferúlico, Vitamina C, Glicerina",177.82
181,RegenX 201,Todo tipo,"Glicerina, Aceite de Jojoba, Niacinamida",115.55
182,Daily Moist 74,Normal,"Agua Termal, Ácido Láctico, Vitamina C, Aloe Vera",163.56
183,SunShield 76,Seca,"Aloe Vera, Ácido Láctico, Ácido Salicílico",42.97
184,RegenX 254,Grasa,"Ácido Hialurónico, Zinc",122.51
185,Hydra Boost 218,Seca,"Aloe Vera, Urea, Manteca de Karité, Glicerina",191.24
186,Hydra Boost 31,Sensible,"Avena Coloidal, Extracto de Té Verde, Peptidos, Ácido Hialurónico",45.33
187,Daily Moist 237,Acneica,"Zinc, Glicerina",185.52
188,UltraSmooth 39,Mixta,"Ácido Salicílico, Manteca de Karité",118.62
189,NutriGlow 94,Todo tipo,"Ácido Láctico, Aloe Vera, Ácido Salicílico",115.74
190,Aqua Balm 155,Seca,"Ácido Ferúlico, Aceite de Jojoba, Aloe Vera, Pantenol",146.04
191,UltraSmooth 126,Mixta,"Extracto de Té Verde, Niacinamida, Glicerina",171.8
192,AcneFree 150,Grasa,"Ácido Hialurónico, Peptidos",58.95
193,AgeDefy 176,Todo tipo,"Avena Coloidal, Zinc, Extracto de Té Verde, Vitamina C",177.41
194,RegenX 245,Madura,"Manteca de Karité, Vitamina C, Pantenol, Ácido Salicílico",12.77
195,Radiant Day 172,Mixta,"Pantenol, Zinc, Urea",156.09
196,NightCare 253,Mixta,"Ácido Hialurónico, Vitamina C, Ácido Salicílico, Ceramidas",111.03
197,Radiant Day 143,Sensible,"Peptidos, Aloe Vera",34.17
198,OilControl 127,Todo tipo,"Ácido Hialurónico, Aceite de Jojoba",76.88
199,AcneFree 163,Seca,"Ceramidas, Agua Termal, Ácido Hialurónico, Ácido Láctico",85.6
200,AgeDefy 291,Grasa,"Agua Termal, Peptidos",167.13
201,Glow Serum 190,Seca,"Niacinamida, Ceramidas",20.87
202,AcneFree 103,Madura,"Niacinamida, Agua Termal, Manteca de Karité",17.19
203,Aqua Balm 99,Acneica,"Ácido Hialurónico, Aloe Vera",61.34
204,RegenX 106,Todo tipo,"Glicerina, Ceramidas, Manteca de Karité",147.83
205,OilControl 110,Seca,"Vitamina C, Ácido Hialurónico, Aceite de Jojoba, Glicerina",32.41
206,Daily Moist 258,Grasa,"Aceite de Jojoba, Vitamina C",178.9
207,BrightFix 130,Sensible,"Agua Termal, Zinc",181.1
208,NutriGlow 180,Todo tipo,"Ácido Hialurónico, Ceramidas, Peptidos, Ácido Salicílico",130.98
209,AgeDefy 54,Madura,"Ceramidas, Ácido Hialurónico, Ácido Salicílico",93.07
210,Silky Touch 282,Acneica,"Ácido Láctico, Ácido Hialurónico, Ácido Ferúlico, Extracto de Té Verde",67.65
211,Hydra Boost 277,Madura,"Zinc, Manteca de Karité",170.86
212,NightCare 112,Seca,"Pantenol, Extracto de Té Verde, Vitamina C, Niacinamida",44.56
213,Glow Serum 26,Todo tipo,"Manteca de Karité, Peptidos, Ácido Láctico",63.8
214,NutriGlow 78,Madura,"Glicerina, Zinc, Ácido Láctico",190.46
215,Fresh Dew 85,Madura,"Ácido Salicílico, Aceite de Jojoba",188.54
216,Aqua Balm 65,Acneica,"Ácido Salicílico, Niacinamida, Retinol, Agua Termal",173.22
217,SunShield 106,Todo tipo,"Urea, Aceite de Jojoba",122.81
218,Glow Serum 39,Seca,"Ceramidas, Agua Termal, Niacinamida, Zinc",196.79
219,RegenX 157,Madura,"Peptidos, Extracto de Té Verde",139.9
220,DermaFix 238,Normal,"Vitamina C, Aloe Vera, Niacinamida",89.24
221,UltraSmooth 269,Sensible,"Pantenol, Ácido Hialurónico, Niacinamida, Ácido Ferúlico",128.3
222,DermaFix 238,Normal,"Ácido Láctico, Retinol",106.32
223,SkinPure 68,Grasa,"Pantenol, Vitamina C, Ácido Láctico",20.91
224,SkinPure 84,Grasa,"Extracto de Té Verde, Aloe Vera",154.6
225,SkinPure 176,Normal,"Aloe Vera, Ácido Hialurónico",37.51
226,NutriGlow 280,Mixta,"Manteca de Karité, Ácido Hialurónico",163.28
227,OilControl 167,Normal,"Pantenol, Peptidos, Ácido Láctico, Ácido Hialurónico",191.65
228,Aqua Balm 25,Madura,"Peptidos, Agua Termal, Ácido Salicílico, Extracto de Té Verde",45.35
229,DermaFix 255,Sensible,"Aloe Vera, Peptidos, Zinc",132.67
230,SkinPure 118,Seca,"Extracto de Té Verde, Zinc, Agua Termal",26.3
231,AgeDefy 241,Mixta,"Ácido Salicílico, Extracto de Té Verde, Glicerina",179.42
232,Clear Skin 291,Todo tipo,"Pantenol, Urea, Agua Termal",112.89
233,NutriGlow 122,Acneica,"Avena Coloidal, Urea, Ácido Salicílico, Vitamina C",31.97
234,Radiant Day 183,Normal,"Vitamina C, Aceite de Jojoba, Ácido Salicílico",101.72
235,Silky Touch 101,Grasa,"Pantenol, Ácido Láctico",92.46
236,Daily Moist 152,Normal,"Niacinamida, Pantenol",105.11
237,AgeDefy 166,Mixta,"Ácido Salicílico, Manteca de Karité",72.16
238,OilControl 172,Seca,"Ácido Hialurónico, Ácido Ferúlico, Pantenol",146.21
239,Silky Touch 86,Mixta,"Urea, Vitamina C",133.01
240,UltraSmooth 84,Sensible,"Zinc, Aceite de Jojoba, Extracto de Té Verde",28.3
241,UltraSmooth 212,Mixta,"Aloe Vera, Manteca de Karité, Ácido Ferúlico, Pantenol",191.15
242,SkinPure 56,Grasa,"Zinc, Ácido Láctico, Glicerina",166.75
243,Clear Skin 72,Normal,"Extracto de Té Verde, Urea, Ceramidas, Ácido Hialurónico",164.44
244,Daily Moist 77,Mixta,"Agua Termal, Retinol",179.88
245,AgeDefy 267,Grasa,"Aloe Vera, Extracto de Té Verde",26.62
246,Glow Serum 207,Todo tipo,"Pantenol, Avena Coloidal, Urea, Ácido Hialurónico",157.37
247,AcneFree 156,Mixta,"Niacinamida, Agua Termal",80.51
248,Glow Serum 81,Mixta,"Manteca de Karité, Zinc, Agua Termal, Urea",77.0
249,Glow Serum 131,Acneica,"Ácido Salicílico, Niacinamida, Pantenol",153.74
250,DermaFix 20,Seca,"Peptidos, Ceramidas, Pantenol",49.97
251,AgeDefy 15,Madura,"Urea, Pantenol",51.61
252,SunShield 166,Madura,"Pantenol, Ácido Salicílico",43.32
253,SkinPure 124,Mixta,"Ácido Ferúlico, Manteca de Karité, Avena Coloidal",156.05
254,RegenX 214,Sensible,"Glicerina, Manteca de Karité, Ceramidas, Aceite de Jojoba",181.23
255,Aqua Balm 132,Madura,"Ácido Hialurónico, Manteca de Karité",109.88
256,Hydra Boost 164,Todo tipo,"Extracto de Té Verde, Aceite de Jojoba, Niacinamida, Agua Termal",60.82
257,Aqua Balm 110,Acneica,"Avena Coloidal, Glicerina, Aceite de Jojoba, Pantenol",191.76
258,Daily Moist 19,Acneica,"Vitamina C, Ácido Ferúlico, Niacinamida",8.27
259,Silky Touch 139,Grasa,"Ceramidas, Ácido Ferúlico, Vitamina C, Agua Termal",107.75
260,OilControl 57,Todo tipo,"Zinc, Aloe Vera, Glicerina, Extracto de Té Verde",36.88
261,Clear Skin 273,Acneica,"Aceite de Jojoba, Ácido Hialurónico, Aloe Vera",92.1
262,Hydra Boost 149,Mixta,"Ácido Hialurónico, Ceramidas, Manteca de Karité, Retinol",158.25
263,BrightFix 286,Seca,"Aceite de Jojoba, Extracto de Té Verde, Glicerina",125.84
264,Silky Touch 164,Todo tipo,"Ácido Láctico, Extracto de Té Verde, Retinol",150.46
265,UltraSmooth 174,Sensible,"Extracto de Té Verde, Ácido Láctico, Ceramidas",47.37
266,Radiant Day 196,Grasa,"Pantenol, Urea, Zinc",55.82
267,NutriGlow 86,Grasa,"Avena Coloidal, Ácido Ferúlico, Aloe Vera, Glicerina",125.68
268,OilControl 152,Sensible,"Aloe Vera, Urea",140.88
269,Daily Moist 273,Mixta,"Agua Termal, Manteca de Karité, Zinc, Ácido Hialurónico",125.88
270,Glow Serum 236,Mixta,"Extracto de Té Verde, Glicerina, Avena Coloidal, Peptidos",173.77
271,AcneFree 246,Normal,"Pantenol, Ácido Salicílico, Urea",174.98
272,DermaFix 184,Grasa,"Ceramidas, Peptidos, Ácido Hialurónico",77.3
273,Clear Skin 65,Todo tipo,"Ceramidas, Zinc",131.77
274,Radiant Day 186,Grasa,"Ácido Hialurónico, Retinol",80.31
275,OilControl 282,Mixta,"Ceramidas, Agua Termal",96.95
276,AcneFree 1,Normal,"Extracto de Té Verde, Vitamina C, Pantenol",95.77
277,CeraPlus 248,Seca,"Manteca de Karité, Avena Coloidal",98.14
278,Daily Moist 179,Acneica,"Extracto de Té Verde, Aloe Vera, Ácido Hialurónico, Niacinamida",124.73
279,NutriGlow 24,Mixta,"Ácido Salicílico, Ácido Hialurónico",26.79
280,NightCare 22,Sensible,"Ácido Hialurónico, Glicerina, Aceite de Jojoba, Zinc",6.78
281,CeraPlus 23,Mixta,"Peptidos, Vitamina C, Ácido Hialurónico, Ácido Ferúlico",145.89
282,Silky Touch 263,Normal,"Ácido Salicílico, Urea, Manteca de Karité",107.58
283,Daily Moist 113,Todo tipo,"Pantenol, Vitamina C, Ácido Salicílico",142.76
284,Radiant Day 88,Acneica,"Ácido Láctico, Extracto de Té Verde, Vitamina C, Agua Termal",10.07
285,AgeDefy 43,Normal,"Ceramidas, Glicerina, Extracto de Té Verde, Aceite de Jojoba",49.53
286,Silky Touch 256,Acneica,"Ácido Hialurónico, Ácido Salicílico",145.65
287,Daily Moist 268,Madura,"Retinol, Ácido Hialurónico, Ácido Láctico, Ácido Ferúlico",68.6
288,BrightFix 168,Normal,"Vitamina C, Ácido Hialurónico",165.63
289,Glow Serum 6,Normal,"Niacinamida, Extracto de Té Verde, Agua Termal, Ácido Salicílico",135.81
290,CeraPlus 284,Mixta,"Ácido Ferúlico, Ceramidas, Ácido Salicílico",19.86
291,Radiant Day 198,Sensible,"Avena Coloidal, Urea",57.52
292,NutriGlow 45,Mixta,"Ácido Salicílico, Aceite de Jojoba",47.14
293,RegenX 85,Normal,"Extracto de Té Verde, Urea, Retinol, Ceramidas",199.59
294,AcneFree 30,Sensible,"Ácido Hialurónico, Avena Coloidal",52.29
295,SunShield 181,Normal,"Ácido Hialurónico, Zinc",77.22
296,RegenX 215,Sensible,"Manteca de Karité, Ácido Ferúlico, Ácido Láctico, Agua Termal",37.81
297,Hydra Boost 133,Grasa,"Pantenol, Retinol",54.47
298,Daily Moist 261,Normal,"Aceite de Jojoba, Aloe Vera, Agua Termal, Extracto de Té Verde",19.93
299,RegenX 107,Grasa,"Ceramidas, Retinol, Glicerina",161.9
300,RegenX 26,Seca,"Manteca de Karité, Peptidos, Extracto de Té Verde",32.89
301,Glow Serum 39,Grasa,"Manteca de Karité, Urea",197.57
302,UltraSmooth 183,Madura,"Ácido Hialurónico, Vitamina C, Niacinamida, Agua Termal",7.0
303,NutriGlow 31,Grasa,"Niacinamida, Aloe Vera, Urea",192.66
304,Fresh Dew 35,Seca,"Aceite de Jojoba, Extracto de Té Verde",173.17
305,SkinPure 69,Sensible,"Ácido Salicílico, Extracto de Té Verde, Niacinamida",45.94
306,NutriGlow 106,Grasa,"Aloe Vera, Retinol, Niacinamida",196.88
307,AgeDefy 109,Mixta,"Aceite de Jojoba, Retinol, Urea",193.1
308,RegenX 239,Madura,"Niacinamida, Ácido Hialurónico, Zinc",100.66
309,Glow Serum 155,Acneica,"Glicerina, Ácido Hialurónico",108.32
310,Aqua Balm 104,Todo tipo,"Aceite de Jojoba, Glicerina",114.28
311,Aqua Balm 170,Acneica,"Niacinamida, Peptidos",75.44
312,NutriGlow 31,Madura,"Agua Termal, Niacinamida, Ácido Láctico, Aloe Vera",11.44
313,OilControl 284,Todo tipo,"Zinc, Urea, Ceramidas, Ácido Salicílico",177.8
